name,address,zipCode,contactName,contactPhone,website,profileUrl,jobCostMin,jobCostMax,licenseNumber,averageRating,followers,following,badgeCount,projectCount,reviewCount,commentCount
One Stop Home Care,null,92211,null,(760) 668-0740,null,null,null,null,null,null,null,null,null,null,null,null
BIG BLOCK CONSTRUCTION,null,91701,null,(909) 980-1876,null,null,null,null,null,null,null,null,null,null,null,null
MCBRIDE DEVELOPMENT INC,null,92373,null,(909) 801-4697,null,null,null,null,null,null,null,null,null,null,null,null
Home Paradise,21712 Hawthorne Blvd Ste 225,90503,"Rafi Topian, Owner",(310) 371-0022,null,null,null,null,null,null,null,null,null,null,null,null
Kadi Construction Co.,8553 San Fernando Rd,91352,"Said Ahmad, Manager",(818) 504-2277,null,null,null,null,null,null,null,null,null,null,null,null
ALLEN,%!s(bool=false),%!s(bool=false),:,%!s(bool=false),null,http://www.houzz.com/pro/ostldt/allen,null,null,null,null,0,0,null,0,null,null
Plummer Construction,31725 Sea Level Dr,90265,null,(310) 589-9322,null,null,null,null,null,null,null,null,null,null,null,null
GREG CONSTRUCTION,517 W Windsor Rd,91204,null,(818) 502-0596,null,null,null,null,null,null,null,null,null,null,null,null
REBCO General building contractor,%!s(bool=false),95551,Rob,(707) 601-0552,null,http://www.houzz.com/pro/skilledhands1/rebco-general-building-contractor,null,null,null,null,0,0,null,0,null,null
Corona Construction,11445 Hela Ave,91342,"Rafael Corona, Owner",(818) 899-2227,null,null,null,null,null,null,null,null,null,null,null,null
MR Builder Design and Construction,null,%!s(bool=false),null,(323) 319-6499,null,null,null,null,null,null,null,null,null,null,null,null
Reliable Solution Services,12579 Venice Blvd,90066,null,(310) 663-1546,null,null,null,null,null,null,null,null,null,null,null,null
CAPITAL GLASS INC,null,91744,null,(310) 216-0001,null,null,null,null,null,null,null,null,null,null,null,null
MR Construction,%!s(bool=false),90660,Mauro Rojas,(323) 535-8454,null,http://www.houzz.com/pro/mr-construction4/mr-construction,null,null,950990,null,0,0,null,0,null,null
James Perse,1118 N Highland Ave,90038,James Perse,(323) 469-1981,null,null,null,null,null,null,null,null,null,null,null,null
Pulte Homes -Del Webb,1351 Pomona Rd Ste 200,92882,null,(951) 271-5800,null,null,null,null,null,null,null,null,null,null,null,null
The Home Depot,%!s(bool=false),%!s(bool=false),:,(310) 337-4002,null,http://www.houzz.com/pro/jorgeruiz72/the-home-depot,null,null,null,null,0,0,null,0,null,null
Window & Door Center Inc.,5618 N Paramount Blvd,90805,null,(562) 633-6606,null,null,null,null,null,null,null,null,null,null,null,null
California Construction,720 Carnegie Dr Ste 200,92408,"Anthony Espinoza, President",(909) 386-0102,null,null,null,null,null,null,null,null,null,null,null,null
Amil Haim Cohen,5809 Rhodes Ave,91607,null,(818) 448-8818,null,null,null,null,null,null,null,null,null,null,null,null
SPECIALIZE HOME IMPROVEMENT,15762 Ararat St,91342,null,(818) 367-6383,null,null,null,null,null,null,null,null,null,null,null,null
K I S S Construction,16425 Pioneer Blvd Ste 204,90650,"Ray Bean, Owner",(562) 860-4828,null,null,null,null,null,null,null,null,null,null,null,null
Tilden-Coil Constructors,%!s(bool=false),%!s(bool=false),:,(951) 684-5901,null,http://www.houzz.com/pro/kattridge/tilden-coil-constructors,null,null,null,null,0,1,1,0,null,null
PRUDIAN BROTHERS INC,11800 Vose St,91605,"Myran Prudian, Manager",(818) 982-4312,null,null,null,null,null,null,null,null,null,null,null,null
ALL TRADES READY CONSTRUCTION INC,738 Twillin Ct,93065,null,(805) 584-0804,null,null,null,null,null,null,null,null,null,null,null,null
david scholar,%!s(bool=false),%!s(bool=false),:,%!s(bool=false),null,http://www.houzz.com/pro/desertheightsconstruction/david-scholar,null,null,null,null,0,0,null,0,null,null
ProAct Construction,%!s(bool=false),%!s(bool=false),:,(818) 804-6645,null,http://www.houzz.com/pro/proactconstruction/proact-construction,null,null,null,null,0,0,null,0,null,null
Ric Construction,10675 E Ave Ste 1,92345,"Don Mangold, President",(760) 244-7749,null,null,null,null,null,null,null,null,null,null,null,null
Britannia Development Co,1328 N Benson Ave Ste B,91786,"Paul Sharp, Owner",(909) 931-3252,null,null,null,null,null,null,null,null,null,null,null,null
3dim,%!s(bool=false),%!s(bool=false),:,(661) 645-5673,null,http://www.houzz.com/pro/3dimco/3dim,null,null,null,null,0,0,null,0,null,null
Lighthouse Design,714 South Hill,90260,Lighthouse Design,(213) 926-5351,null,http://www.houzz.com/pro/lhdesign2000/lighthouse-design,null,null,647837,null,1,0,null,0,null,null
"Saltair Group, Inc",%!s(bool=false),90049,Henry Brown,(310) 849-3237,http://saltairgroup.com,http://www.houzz.com/pro/henry-brown9865781/saltair-group-inc,null,null,null,null,0,1,null,0,null,null
Rmg Construction,1724 Ximeno Ave Apt 7,90815,null,(562) 494-3566,null,null,null,null,null,null,null,null,null,null,null,null
M -Tec Construction,null,90210,null,(310) 657-8785,null,null,null,null,null,null,null,null,null,null,null,null
Connolly Construction,5333 South St,90712,null,(562) 925-1434,null,null,null,null,null,null,null,null,null,null,null,null
Sema Construction,159 E Huntington Dr,91006,null,(626) 462-9990,null,null,null,null,null,null,null,null,null,null,null,null
Williams Construction Co.,22837 Pacific Coast Hwy Ste F,90265,"Gerald Williams, Owner",(310) 456-0574,null,null,null,null,null,null,null,null,null,null,null,null
Kalisz R J Construction Co.,PO Box 6127,91510,"Rick Kalisz, Owner",(818) 845-3424,null,null,null,null,null,null,null,null,null,null,null,null
Forefront Builders Corp.,155 Cordova St,91105,null,(626) 796-8991,null,null,null,null,null,null,null,null,null,null,null,null
De Hoog Construction,10637 Opal Ave,92374,"Gerrit Dehoog, Owner",(909) 794-5024,null,null,null,null,null,null,null,null,null,null,null,null
Huff & Sons Construction Inc.,null,93004,null,(805) 647-2723,null,null,null,null,null,null,null,null,null,null,null,null
Kevin smith,3248 east willow,90755,Kevin Smith,(562) 972-6093,null,http://www.houzz.com/pro/smikevin/kevin-smith,null,null,null,null,0,0,null,0,null,null
Walker Matthiessen Builders,465 E Union St Ste 106,91101,"John Walker, Owner",(626) 397-2897,null,null,null,null,null,null,null,null,null,null,null,null
Higgins Construction,4201 State St,91763,"Bill Higgins, Owner",(909) 628-3752,null,null,null,null,null,null,null,null,null,null,null,null
EASY GREEN GREENHOUSE MFG,3191 Marengo Ave,91001,"Jerry Simpson, Operator",(626) 791-8783,null,null,null,null,null,null,null,null,null,null,null,null
Perez Joe,5450 Beckford Ave,91356,null,(818) 705-0702,null,null,null,null,null,null,null,null,null,null,null,null
Island Builders Incorporated,24 Pebbly Beach Rd,90704,"Dave Brown, Manager",(310) 510-0448,null,null,null,null,null,null,null,null,null,null,null,null
Salliselite construction,%!s(bool=false),91723,Jessie Sallis,(619) 701-5365,null,http://www.houzz.com/pro/jessie92103/salliselite-construction,null,null,null,null,0,0,null,0,null,null
LINDLEY CONSTRUCTION,null,91784,null,(909) 982-8061,null,null,null,null,null,null,null,null,null,null,null,null
Dsi,888 E Hillcrest Dr,91360,null,(805) 496-3622,null,null,null,null,null,null,null,null,null,null,null,null
Discount Computer Warehouse,8845 Shirley Ave,91324,null,(818) 576-9111,null,null,null,null,null,null,null,null,null,null,null,null
Wedwick Building co.,1440 Bay St.,90815,Keith Wedwick,(541) 749-0210,null,http://www.houzz.com/pro/kwedwick/wedwick-building-co,null,null,1010888,null,0,0,null,0,null,null
Lang Construction,31121 Via Colinas Ste 1004,91362,"Robert Lang, Owner",(818) 991-4946,null,null,null,null,null,null,null,null,null,null,null,null
