jobCostMin,profileUrl,reviewCount,contactPhone,name,licenseNumber,website,zipCode,commentCount,followers,contactName,address,following,badgeCount,projectCount,jobCostMax,averageRating
,http://www.houzz.com/pro/preferredhomebuilders1/preferred-home-builders-inc,12,(818) 594-3500,PREFERRED HOME BUILDERS INC,#773147,http://www.friendlycontractor.com,91367,25,229,Tom Pinhas,"6271 Variel Ave., Suite #C",35,5,37,,4.9
,http://www.houzz.com/pro/cieloconstruction/cielo-construction-company,30,(800) 897-3114,Cielo Construction Company,983179,http://www.Cieloconstruction.com,90041,5,69,"Cielo Construction, Inc.",1053 Colorado Blvd #C,68,2,18,,5.0
,http://www.houzz.com/pro/globusbuilder/globus-builder,9,(818) 266-5655,Globus Builder,,http://www.globusbuilder.com,91606,46,538,Manny Lev,6350 Laurel Canyon Blvd Suite 400,2,7,24,,4.8
,http://www.houzz.com/pro/keystone3110/keystone-cabinetry-inc-since-1984,15,(818) 565-3330,Keystone Cabinetry Inc.   Since 1984,CA-B1-C6-787146,http://www.keystonecabinetry.com,91505,34,257,Julian Sahagun,3110 North Clybourn Ave,71,4,25,,5.0
,http://www.houzz.com/pro/hardingconstruction1/harding-construction-and-sustainable-solutions,17,(562) 333-6392,Harding Construction & Sustainable Solutions,895042,http://www.HardingConstruction.biz,90814,921,224,Wes Harding,4040 E Vermont,134,5,28,,4.9
,http://www.houzz.com/pro/foresight/foresight-design-remodel-inc,10,(626) 676-6690,FORESIGHT Design-Remodel Inc,988652,http://www.foresightremodel.com,90065,142,153,Joel Forsythe,Available Upon Request,,5,6,,4.9
,http://www.houzz.com/pro/oren1180/sod-builders-inc,36,(800) 401-3220,"SOD BUILDERS, INC.",,http://www.sodbuilders.com,False,80,926,Oren Dagan,False,0,6,39,,4.8
,http://www.houzz.com/pro/scalaconstruction/scala-construction-inc,9,(323) 286-7555,Scala Construction Inc.,941980,http://www.grupposcala.com,91356,12,232,Scala Construction,False,237,4,6,,4.5
,http://www.houzz.com/pro/luanndev/luann-development-inc,28,(310) 428-3578,"LuAnn Development, Inc.",981015,http://www.luanndev.com,90278,321,946,LuAnn Fabian,PO Box 1911,43,14,13,,4.9
,http://www.houzz.com/pro/chelseaconstruction/chelsea-construction-corporation,27,(818) 949-4595,Chelsea Construction Corporation,,http://www.chelseaconstructioncorp.com,91011,99,289,Mark Snashall,4529 Angeles Crest Highway Suite #103,,7,44,,4.9
,http://www.houzz.com/pro/bnrcreativebuilders/bandr-creative-builders,44,(323) 964-9588,B&R Creative Builders,B969864,http://www.bnrcreativebuilders.com,90048,37,402,Tomer Benyehuda,6440 Maryland Dr.,,8,33,,5.0
